NetworkID,Variant,Model,FaultBus,TestCases,ExactBusAccuracy
ieee30,Experiment B: current only,ExtraTrees,24,36,0.0
ieee30,Experiment B: current only,ExtraTrees,30,36,0.0
ieee30,Experiment B: current only,RandomForest,1,36,1.0
ieee30,Experiment B: current only,RandomForest,6,36,0.0
ieee30,Experiment B: current only,RandomForest,10,36,0.0
ieee30,Experiment B: current only,RandomForest,24,36,0.0
ieee30,Experiment B: current only,RandomForest,30,36,0.0
ieee30,Experiment C: existing V+C,ExtraTrees,1,36,1.0
ieee30,Experiment C: existing V+C,ExtraTrees,6,36,0.75
ieee30,Experiment C: existing V+C,ExtraTrees,10,36,0.75
ieee30,Experiment C: existing V+C,ExtraTrees,24,36,0.75
ieee30,Experiment C: existing V+C,ExtraTrees,30,36,0.0
ieee30,Experiment C: existing V+C,RandomForest,1,36,1.0
ieee30,Experiment C: existing V+C,RandomForest,6,36,0.3333333333333333
ieee30,Experiment C: existing V+C,RandomForest,10,36,0.0
ieee30,Experiment C: existing V+C,RandomForest,24,36,0.0
ieee30,Experiment C: existing V+C,RandomForest,30,36,0.0
ieee30,Experiment D: existing + normalized V/I,ExtraTrees,1,36,1.0
ieee30,Experiment D: existing + normalized V/I,ExtraTrees,6,36,1.0
ieee30,Experiment D: existing + normalized V/I,ExtraTrees,10,36,1.0
ieee30,Experiment D: existing + normalized V/I,ExtraTrees,24,36,1.0
ieee30,Experiment D: existing + normalized V/I,ExtraTrees,30,36,1.0
ieee30,Experiment D: existing + normalized V/I,RandomForest,1,36,1.0
ieee30,Experiment D: existing + normalized V/I,RandomForest,6,36,1.0
ieee30,Experiment D: existing + normalized V/I,RandomForest,10,36,1.0
ieee30,Experiment D: existing + normalized V/I,RandomForest,24,36,1.0
ieee30,Experiment D: existing + normalized V/I,RandomForest,30,36,1.0
ieee30,Experiment E: existing + normalized V/I + rank,ExtraTrees,1,36,1.0
ieee30,Experiment E: existing + normalized V/I + rank,ExtraTrees,6,36,1.0
ieee30,Experiment E: existing + normalized V/I + rank,ExtraTrees,10,36,1.0
ieee30,Experiment E: existing + normalized V/I + rank,ExtraTrees,24,36,1.0
ieee30,Experiment E: existing + normalized V/I + rank,ExtraTrees,30,36,1.0
ieee30,Experiment E: existing + normalized V/I + rank,RandomForest,1,36,1.0
ieee30,Experiment E: existing + normalized V/I + rank,RandomForest,6,36,1.0
ieee30,Experiment E: existing + normalized V/I + rank,RandomForest,10,36,1.0
ieee30,Experiment E: existing + normalized V/I + rank,RandomForest,24,36,1.0
ieee30,Experiment E: existing + normalized V/I + rank,RandomForest,30,36,1.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,1,36,1.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,6,36,1.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,10,36,1.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,24,36,1.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,30,36,1.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,1,36,1.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,6,36,1.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,10,36,1.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,24,36,1.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,30,36,1.0
