NetworkID,Variant,Model,FaultType,TestCases,MacroF1,ExactBusAccuracy,OneHopAccuracy,Top3Accuracy,GraphDistanceMAE
ieee14,Experiment C: existing V+C,ExtraTrees,SLG,45,0.48863636363636365,0.2,0.2,,2.0
ieee14,Experiment C: existing V+C,ExtraTrees,ThreePhase,45,1.0,0.2,0.2,,2.0
ieee14,Experiment D: existing + normalized V/I,RandomForest,LL,45,0.0,1.0,1.0,,0.0
ieee14,Experiment D: existing + normalized V/I,RandomForest,LLG,45,0.0,1.0,1.0,,0.0
ieee14,Experiment D: existing + normalized V/I,RandomForest,SLG,45,0.0,0.9333333333333333,0.9333333333333333,,0.13333333333333333
ieee14,Experiment D: existing + normalized V/I,RandomForest,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee14,Experiment D: existing + normalized V/I,ExtraTrees,LL,45,0.4155844155844156,1.0,1.0,,0.0
ieee14,Experiment D: existing + normalized V/I,ExtraTrees,LLG,45,0.0,1.0,1.0,,0.0
ieee14,Experiment D: existing + normalized V/I,ExtraTrees,SLG,45,0.20512820512820515,0.7777777777777778,0.8222222222222222,,0.4222222222222222
ieee14,Experiment D: existing + normalized V/I,ExtraTrees,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee14,Experiment E: existing + normalized V/I + rank,RandomForest,LL,45,0.0,1.0,1.0,,0.0
ieee14,Experiment E: existing + normalized V/I + rank,RandomForest,LLG,45,0.0,1.0,1.0,,0.0
ieee14,Experiment E: existing + normalized V/I + rank,RandomForest,SLG,45,0.0,0.9777777777777777,0.9777777777777777,,0.044444444444444446
ieee14,Experiment E: existing + normalized V/I + rank,RandomForest,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee14,Experiment E: existing + normalized V/I + rank,ExtraTrees,LL,45,0.4155844155844156,1.0,1.0,,0.0
ieee14,Experiment E: existing + normalized V/I + rank,ExtraTrees,LLG,45,0.0,1.0,1.0,,0.0
ieee14,Experiment E: existing + normalized V/I + rank,ExtraTrees,SLG,45,1.0,1.0,1.0,,0.0
ieee14,Experiment E: existing + normalized V/I + rank,ExtraTrees,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee14,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,LL,45,0.0,1.0,1.0,,0.0
ieee14,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,LLG,45,0.0,1.0,1.0,,0.0
ieee14,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,SLG,45,0.0,1.0,1.0,,0.0
ieee14,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee14,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,LL,45,0.47674418604651164,1.0,1.0,,0.0
ieee14,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,LLG,45,0.0,1.0,1.0,,0.0
ieee14,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,SLG,45,0.43037974683544306,0.9777777777777777,0.9777777777777777,,0.044444444444444446
ieee14,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee30,Baseline,RandomForest,LL,45,0.0,0.2,0.2,,3.0
ieee30,Baseline,RandomForest,LLG,45,0.0,0.2,0.2,,3.0
ieee30,Baseline,RandomForest,SLG,45,0.375,0.2,0.2,,3.0
ieee30,Baseline,RandomForest,ThreePhase,45,1.0,0.2,0.2,,3.0
ieee30,Baseline,ExtraTrees,LL,45,0.3283582089552239,0.2,0.2,,3.0
ieee30,Baseline,ExtraTrees,LLG,45,0.0,0.8,0.8,,1.0
ieee30,Baseline,ExtraTrees,SLG,45,0.22413793103448276,0.7555555555555555,0.7555555555555555,,1.2222222222222223
ieee30,Baseline,ExtraTrees,ThreePhase,45,1.0,0.8,0.8,,1.0
ieee30,Experiment A: voltage only,RandomForest,LL,45,0.0,0.2,0.2,,3.0
ieee30,Experiment A: voltage only,RandomForest,LLG,45,0.0,0.8,0.8,,1.0
ieee30,Experiment A: voltage only,RandomForest,SLG,45,0.0,0.8,0.8,,1.0
ieee30,Experiment A: voltage only,RandomForest,ThreePhase,45,1.0,0.8,0.8,,1.0
ieee30,Experiment A: voltage only,ExtraTrees,LL,45,0.08163265306122448,0.2,0.2,,3.0
ieee30,Experiment A: voltage only,ExtraTrees,LLG,45,0.0,0.8222222222222222,0.8222222222222222,,0.8888888888888888
ieee30,Experiment A: voltage only,ExtraTrees,SLG,45,0.0,0.8,0.8,,1.0
ieee30,Experiment A: voltage only,ExtraTrees,ThreePhase,45,1.0,0.8,0.8,,1.0
ieee30,Experiment B: current only,RandomForest,LL,45,0.0,0.2,0.2,,3.0
ieee30,Experiment B: current only,RandomForest,LLG,45,0.0,0.2,0.2,,3.0
ieee30,Experiment B: current only,RandomForest,SLG,45,1.0,0.2,0.2,,3.0
ieee30,Experiment B: current only,RandomForest,ThreePhase,45,0.0,0.2,0.2,,3.0
ieee30,Experiment B: current only,ExtraTrees,LL,45,0.21052631578947367,0.2,0.2,,3.0
ieee30,Experiment B: current only,ExtraTrees,LLG,45,0.0,0.2,0.2,,3.0
ieee30,Experiment B: current only,ExtraTrees,SLG,45,0.2857142857142857,0.2,0.2,,3.0
ieee30,Experiment B: current only,ExtraTrees,ThreePhase,45,1.0,0.2,0.2,,3.0
ieee30,Experiment C: existing V+C,RandomForest,LL,45,0.0,0.2,0.2,,3.0
ieee30,Experiment C: existing V+C,RandomForest,LLG,45,0.0,0.3111111111111111,0.3111111111111111,,2.7777777777777777
ieee30,Experiment C: existing V+C,RandomForest,SLG,45,0.0,0.2,0.2,,3.0
ieee30,Experiment C: existing V+C,RandomForest,ThreePhase,45,1.0,0.35555555555555557,0.35555555555555557,,2.688888888888889
ieee30,Experiment C: existing V+C,ExtraTrees,LL,45,0.22413793103448276,0.2,0.2,,3.0
ieee30,Experiment C: existing V+C,ExtraTrees,LLG,45,0.0,0.8,0.8,,1.0
ieee30,Experiment C: existing V+C,ExtraTrees,SLG,45,0.23728813559322035,0.8,0.8,,1.0
ieee30,Experiment C: existing V+C,ExtraTrees,ThreePhase,45,1.0,0.8,0.8,,1.0
ieee30,Experiment D: existing + normalized V/I,RandomForest,LL,45,0.0,1.0,1.0,,0.0
ieee30,Experiment D: existing + normalized V/I,RandomForest,LLG,45,0.0,1.0,1.0,,0.0
ieee30,Experiment D: existing + normalized V/I,RandomForest,SLG,45,0.0,1.0,1.0,,0.0
ieee30,Experiment D: existing + normalized V/I,RandomForest,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee30,Experiment D: existing + normalized V/I,ExtraTrees,LL,45,0.36619718309859156,1.0,1.0,,0.0
ieee30,Experiment D: existing + normalized V/I,ExtraTrees,LLG,45,0.0,1.0,1.0,,0.0
ieee30,Experiment D: existing + normalized V/I,ExtraTrees,SLG,45,0.11764705882352941,1.0,1.0,,0.0
ieee30,Experiment D: existing + normalized V/I,ExtraTrees,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee30,Experiment E: existing + normalized V/I + rank,RandomForest,LL,45,0.0,1.0,1.0,,0.0
ieee30,Experiment E: existing + normalized V/I + rank,RandomForest,LLG,45,0.0,1.0,1.0,,0.0
ieee30,Experiment E: existing + normalized V/I + rank,RandomForest,SLG,45,0.375,1.0,1.0,,0.0
ieee30,Experiment E: existing + normalized V/I + rank,RandomForest,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee30,Experiment E: existing + normalized V/I + rank,ExtraTrees,LL,45,0.0,1.0,1.0,,0.0
ieee30,Experiment E: existing + normalized V/I + rank,ExtraTrees,LLG,45,0.0,1.0,1.0,,0.0
ieee30,Experiment E: existing + normalized V/I + rank,ExtraTrees,SLG,45,0.1509433962264151,1.0,1.0,,0.0
ieee30,Experiment E: existing + normalized V/I + rank,ExtraTrees,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,LL,45,0.0,1.0,1.0,,0.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,LLG,45,0.0,1.0,1.0,,0.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,SLG,45,0.0,1.0,1.0,,0.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,RandomForest,ThreePhase,45,1.0,1.0,1.0,,0.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,LL,45,0.0625,1.0,1.0,,0.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,LLG,45,0.0,1.0,1.0,,0.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,SLG,45,0.0425531914893617,1.0,1.0,,0.0
ieee30,Experiment F: existing + normalized V/I + rank + V-I coupled,ExtraTrees,ThreePhase,45,1.0,1.0,1.0,,0.0
