CaseID,CaseName,ScenarioGroup,EventType,EventSubtype,LoadSwitchPct,TargetBus,IsFault,BinaryFaultLabel,SourceModel,RawCsvPath,IBR_SSO_Background,SSO_Frequency,SSO_StartTime,SSO_EndTime,LoadSwitchTime,LoadAddActivePower,LoadAddInductivePower,Status,Message,FaultStartTime,FaultClearTime,FaultType,OutputFile
,SSO_LoadSwitch_Bus12,,SSO_LoadSwitch,,15.0,12.0,,,,,1,25,0.02,0.48,0.1,0.0168,0.01125,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus12.csv
,SSO_LoadSwitch_Bus14,,SSO_LoadSwitch,,15.0,14.0,,,,,1,25,0.02,0.48,0.1,0.0093,0.0024,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus14.csv
,SSO_LoadSwitch_Bus15,,SSO_LoadSwitch,,15.0,15.0,,,,,1,25,0.02,0.48,0.1,0.0123,0.00375,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus15.csv
,SSO_LoadSwitch_Bus16,,SSO_LoadSwitch,,15.0,16.0,,,,,1,25,0.02,0.48,0.1,0.00525,0.0027,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus16.csv
,SSO_LoadSwitch_Bus17,,SSO_LoadSwitch,,15.0,17.0,,,,,1,25,0.02,0.48,0.1,0.0135,0.0087,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus17.csv
,SSO_LoadSwitch_Bus18,,SSO_LoadSwitch,,15.0,18.0,,,,,1,25,0.02,0.48,0.1,0.0048,0.00135,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus18.csv
,SSO_LoadSwitch_Bus19,,SSO_LoadSwitch,,15.0,19.0,,,,,1,25,0.02,0.48,0.1,0.01425,0.0051,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus19.csv
,SSO_LoadSwitch_Bus20,,SSO_LoadSwitch,,15.0,20.0,,,,,1,25,0.02,0.48,0.1,0.0033,0.00105,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus20.csv
,SSO_LoadSwitch_Bus21,,SSO_LoadSwitch,,15.0,21.0,,,,,1,25,0.02,0.48,0.1,0.02625,0.0168,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus21.csv
,SSO_LoadSwitch_Bus23,,SSO_LoadSwitch,,15.0,23.0,,,,,1,25,0.02,0.48,0.1,0.0048,0.0024,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus23.csv
,SSO_LoadSwitch_Bus24,,SSO_LoadSwitch,,15.0,24.0,,,,,1,25,0.02,0.48,0.1,0.01305,0.01005,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus24.csv
,SSO_LoadSwitch_Bus26,,SSO_LoadSwitch,,15.0,26.0,,,,,1,25,0.02,0.48,0.1,0.00525,0.00345,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus26.csv
,SSO_LoadSwitch_Bus29,,SSO_LoadSwitch,,15.0,29.0,,,,,1,25,0.02,0.48,0.1,0.0036,0.00135,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus29.csv
,SSO_LoadSwitch_Bus30,,SSO_LoadSwitch,,15.0,30.0,,,,,1,25,0.02,0.48,0.1,0.0159,0.00285,OK,Simulation and export completed.,,,,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_LoadSwitch_Bus30.csv
,SSO_SLG_Fault_Bus01,,SSO_SLG_Fault,,,1.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus01.csv
,SSO_SLG_Fault_Bus02,,SSO_SLG_Fault,,,2.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus02.csv
,SSO_SLG_Fault_Bus03,,SSO_SLG_Fault,,,3.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus03.csv
,SSO_SLG_Fault_Bus04,,SSO_SLG_Fault,,,4.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus04.csv
,SSO_SLG_Fault_Bus05,,SSO_SLG_Fault,,,5.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus05.csv
,SSO_SLG_Fault_Bus06,,SSO_SLG_Fault,,,6.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus06.csv
,SSO_SLG_Fault_Bus07,,SSO_SLG_Fault,,,7.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus07.csv
,SSO_SLG_Fault_Bus08,,SSO_SLG_Fault,,,8.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus08.csv
,SSO_SLG_Fault_Bus09,,SSO_SLG_Fault,,,9.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus09.csv
,SSO_SLG_Fault_Bus10,,SSO_SLG_Fault,,,10.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus10.csv
,SSO_SLG_Fault_Bus11,,SSO_SLG_Fault,,,11.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus11.csv
,SSO_SLG_Fault_Bus12,,SSO_SLG_Fault,,,12.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus12.csv
,SSO_SLG_Fault_Bus13,,SSO_SLG_Fault,,,13.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus13.csv
,SSO_SLG_Fault_Bus14,,SSO_SLG_Fault,,,14.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus14.csv
,SSO_SLG_Fault_Bus15,,SSO_SLG_Fault,,,15.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus15.csv
,SSO_SLG_Fault_Bus16,,SSO_SLG_Fault,,,16.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus16.csv
,SSO_SLG_Fault_Bus17,,SSO_SLG_Fault,,,17.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus17.csv
,SSO_SLG_Fault_Bus18,,SSO_SLG_Fault,,,18.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus18.csv
,SSO_SLG_Fault_Bus19,,SSO_SLG_Fault,,,19.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus19.csv
,SSO_SLG_Fault_Bus20,,SSO_SLG_Fault,,,20.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus20.csv
,SSO_SLG_Fault_Bus21,,SSO_SLG_Fault,,,21.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus21.csv
,SSO_SLG_Fault_Bus22,,SSO_SLG_Fault,,,22.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus22.csv
,SSO_SLG_Fault_Bus23,,SSO_SLG_Fault,,,23.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus23.csv
,SSO_SLG_Fault_Bus24,,SSO_SLG_Fault,,,24.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus24.csv
,SSO_SLG_Fault_Bus25,,SSO_SLG_Fault,,,25.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus25.csv
,SSO_SLG_Fault_Bus26,,SSO_SLG_Fault,,,26.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus26.csv
,SSO_SLG_Fault_Bus27,,SSO_SLG_Fault,,,27.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus27.csv
,SSO_SLG_Fault_Bus28,,SSO_SLG_Fault,,,28.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus28.csv
,SSO_SLG_Fault_Bus29,,SSO_SLG_Fault,,,29.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus29.csv
,SSO_SLG_Fault_Bus30,,SSO_SLG_Fault,,,30.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,SLG,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_SLG_Fault_Bus30.csv
,SSO_ThreePhase_Fault_Bus01,,SSO_ThreePhase_Fault,,,1.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus01.csv
,SSO_ThreePhase_Fault_Bus02,,SSO_ThreePhase_Fault,,,2.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus02.csv
,SSO_ThreePhase_Fault_Bus03,,SSO_ThreePhase_Fault,,,3.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus03.csv
,SSO_ThreePhase_Fault_Bus04,,SSO_ThreePhase_Fault,,,4.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus04.csv
,SSO_ThreePhase_Fault_Bus05,,SSO_ThreePhase_Fault,,,5.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus05.csv
,SSO_ThreePhase_Fault_Bus06,,SSO_ThreePhase_Fault,,,6.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus06.csv
,SSO_ThreePhase_Fault_Bus07,,SSO_ThreePhase_Fault,,,7.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus07.csv
,SSO_ThreePhase_Fault_Bus08,,SSO_ThreePhase_Fault,,,8.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus08.csv
,SSO_ThreePhase_Fault_Bus09,,SSO_ThreePhase_Fault,,,9.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus09.csv
,SSO_ThreePhase_Fault_Bus10,,SSO_ThreePhase_Fault,,,10.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus10.csv
,SSO_ThreePhase_Fault_Bus11,,SSO_ThreePhase_Fault,,,11.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus11.csv
,SSO_ThreePhase_Fault_Bus12,,SSO_ThreePhase_Fault,,,12.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus12.csv
,SSO_ThreePhase_Fault_Bus13,,SSO_ThreePhase_Fault,,,13.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus13.csv
,SSO_ThreePhase_Fault_Bus14,,SSO_ThreePhase_Fault,,,14.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus14.csv
,SSO_ThreePhase_Fault_Bus15,,SSO_ThreePhase_Fault,,,15.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus15.csv
,SSO_ThreePhase_Fault_Bus16,,SSO_ThreePhase_Fault,,,16.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus16.csv
,SSO_ThreePhase_Fault_Bus17,,SSO_ThreePhase_Fault,,,17.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus17.csv
,SSO_ThreePhase_Fault_Bus18,,SSO_ThreePhase_Fault,,,18.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus18.csv
,SSO_ThreePhase_Fault_Bus19,,SSO_ThreePhase_Fault,,,19.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus19.csv
,SSO_ThreePhase_Fault_Bus20,,SSO_ThreePhase_Fault,,,20.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus20.csv
,SSO_ThreePhase_Fault_Bus21,,SSO_ThreePhase_Fault,,,21.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus21.csv
,SSO_ThreePhase_Fault_Bus22,,SSO_ThreePhase_Fault,,,22.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus22.csv
,SSO_ThreePhase_Fault_Bus23,,SSO_ThreePhase_Fault,,,23.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus23.csv
,SSO_ThreePhase_Fault_Bus24,,SSO_ThreePhase_Fault,,,24.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus24.csv
,SSO_ThreePhase_Fault_Bus25,,SSO_ThreePhase_Fault,,,25.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus25.csv
,SSO_ThreePhase_Fault_Bus26,,SSO_ThreePhase_Fault,,,26.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus26.csv
,SSO_ThreePhase_Fault_Bus27,,SSO_ThreePhase_Fault,,,27.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus27.csv
,SSO_ThreePhase_Fault_Bus28,,SSO_ThreePhase_Fault,,,28.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus28.csv
,SSO_ThreePhase_Fault_Bus29,,SSO_ThreePhase_Fault,,,29.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus29.csv
,SSO_ThreePhase_Fault_Bus30,,SSO_ThreePhase_Fault,,,30.0,,,,,1,25,0.02,0.48,,,,OK,Simulation and export completed.,0.3,0.36,ThreePhase,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background\SSO_ThreePhase_Fault_Bus30.csv
E1_LoadSwitch5pct_Bus02,E1_LoadSwitch5pct_Bus02,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5.0,2.0,0.0,0.0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus02.csv,1,25,0.02,0.48,0.1,0.01085,0.00635,OK,Simulation and export completed.,,,,
E1_LoadSwitch5pct_Bus03,E1_LoadSwitch5pct_Bus03,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5.0,3.0,0.0,0.0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus03.csv,1,25,0.02,0.48,0.1,0.0012,0.0006,OK,Simulation and export completed.,,,,
E1_LoadSwitch5pct_Bus04,E1_LoadSwitch5pct_Bus04,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5.0,4.0,0.0,0.0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus04.csv,1,25,0.02,0.48,0.1,0.0038,0.0008,OK,Simulation and export completed.,,,,
E1_LoadSwitch5pct_Bus05,E1_LoadSwitch5pct_Bus05,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5.0,5.0,0.0,0.0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus05.csv,1,25,0.02,0.48,0.1,0.0471,0.0095,OK,Simulation and export completed.,,,,
E1_LoadSwitch5pct_Bus07,E1_LoadSwitch5pct_Bus07,LoadSwitchVariation,SSO_LoadSwitch,LoadSwitch5pct,5.0,7.0,0.0,0.0,C:\Users\user\Documents\MATLAB\WMU_final\Thirtybussys_WMU_IBR_batch.slx,C:\Users\user\Documents\MATLAB\WMU_final\WMU_batch_raw_ibr_background_loadswitch_variation\E1_LoadSwitch5pct_Bus07.csv,1,25,0.02,0.48,0.1,0.0114,0.00545,OK,Simulation and export completed.,,,,
